Codi,Provincia,Cla,Subclase,Especie,Rumbo,Dist,Fac,CD,DiamIf3,DiamIf2,HeiIf3
172759,17,A,1,045,107,7.19,31.83,20,19,16.7,8.5
172761,17,A,1,046,343,6.09,31.83,25,23,19.65,6.5
172762,17,A,1,046,110,4.4,127.32,20,18.9,15.45,6.5
172763,17,A,1,046,188,14.1,14.14,30,29.15,28.05,9
172764,17,A,1,046,166,9.19,31.83,20,19.55,17.15,7
172765,17,A,1,046,108,8.39,31.83,15,13.35,12.8,6.5
172766,17,A,1,243,33,2.7,127.32,20,18.4,10.9,12
172767,17,A,1,026,78,13.19,14.14,30,31.7,23.3,14
172771,17,A,1,046,138,7.5,31.83,15,14.35,13,4
172772,17,A,1,046,102,3.09,127.32,15,12.8,11.9,4
172773,17,A,1,046,307,10.89,14.14,25,26.2,23.75,8
172776,17,A,1,023,102,2.59,127.32,15,13.25,11.9,6.5
172777,17,A,1,023,127,8.19,31.83,30,30.2,23.95,11
172778,17,A,1,046,106,7.69,31.83,15,17.25,16.35,5
172779,17,A,1,046,107,3.9,127.32,10,10.3,8.45,5
172781,17,A,1,046,223,5.59,31.83,25,25.75,22.8,7.5
172782,17,A,1,046,135,4.5,127.32,25,25.25,23.55,6.5
172783,17,A,1,046,66,5.19,31.83,50,48.25,43.85,10
172784,17,A,1,045,70,9.19,31.83,15,14.45,13.55,7
172785,17,A,1,046,126,10.3,14.14,25,26.2,25.1,10.5
172787,17,A,1,046,28,7.8,31.83,15,14.5,13.05,5
172788,17,A,1,023,156,11.69,14.14,35,32.5,28,10.5
172790,17,A,1,046,52,4.5,127.32,10,12.15,10.3,5
172792,17,A,1,046,80,8,31.83,15,14.45,12.55,6
172794,17,A,1,046,68,6.5,31.83,15,17.05,14.1,5
172795,17,A,1,023,61,13.89,14.14,40,40.65,37.85,8
172796,17,A,1,046,255,14,14.14,25,25.2,23.6,6
172797,17,A,1,046,58,9.39,31.83,20,18.6,16.1,5
172798,17,A,1,046,72,7.59,31.83,20,19.6,19.05,7.5
172799,17,A,1,046,265,14.89,14.14,30,31.1,28.25,10
172800,17,A,1,046,64,3.5,127.32,10,8.4,8.15,6
172802,17,A,1,046,66,10.89,14.14,40,39.55,34.35,11
172803,17,A,1,046,238,3.7,127.32,20,21.15,19.95,9
172804,17,A,1,046,252,6.09,31.83,20,20.6,16.1,9
172805,17,A,1,023,285,7.19,31.83,25,24.4,16.2,10
172807,17,A,1,046,212,4,127.32,20,21.45,20.25,7.5
172808,17,A,1,046,250,9.3,31.83,20,21.25,16.95,6.5
172810,17,A,1,068,193,3.2,127.32,10,11.35,10,5.5
172811,17,A,1,046,185,1.6,127.32,15,14.35,12.95,6.5
172813,17,A,1,046,363,0.6,127.32,20,19.45,16,5.5
172814,17,A,1,046,171,6.3,31.83,15,13.85,12.6,6.5
